1969,Rnd,Pick,Tm,Player,Pos,Age,College/Univ
1969,1,1,BUF,O.J. Simpson HOF,RB,22,USC
1969,1,2,ATL,George Kunz,T,22,Notre Dame
1969,1,3,PHI,Leroy Keyes,DB,22,Purdue
1969,1,4,PIT,Joe Greene HOF,DT,22,North Texas
1969,1,5,CIN,Greg Cook,QB,22,Cincinnati
1969,1,6,BOS,Ron Sellers,WR,22,Florida St.
1969,1,7,SFO,Ted Kwalick,TE,22,Penn St.
1969,1,8,RAM,Larry Smith,RB,22,Florida
1969,1,9,SDG,Marty Domres,QB,22,Columbia
1969,1,10,RAM,Jim Seymour,WR,22,Notre Dame
1969,1,11,MIA,Bill Stanfill,DE,22,Georgia
1969,1,12,GNB,Rich Moore,DT,22,Villanova
1969,1,13,NYG,Fred Dryer,DE,23,San Diego St.
1969,1,14,CHI,Rufus Mayes,T,21,Ohio St.
1969,1,15,HOU,Ron Pritchard,LB,22,Arizona St.
1969,1,16,SFO,Gene Washington,WR,22,Stanford
1969,1,17,NOR,John Shinners,G,22,Xavier (OH)
1969,1,18,SDG,Bob Babich,LB,22,Miami (OH)
1969,1,19,STL,Roger Wehrli HOF,DB,21,Missouri
1969,1,20,CLE,Ron Johnson,RB,21,Michigan
1969,1,21,RAM,Bob Klein,TE,22,USC
1969,1,22,OAK,Art Thoms,DT,22,Syracuse
1969,1,23,KAN,Jim Marsalis,DB,23,Tennessee St.
1969,1,24,DAL,Calvin Hill,RB,22,Yale
1969,1,25,BAL,Eddie Hinton,WR,22,Oklahoma
1969,1,26,NYJ,Dave Foley,T,21,Ohio St.
1969,2,27,BUF,Bill Enyart,RB,22,Oregon St.
1969,2,28,PHI,Ernie Calloway,DT,21,Texas Southern
1969,2,29,ATL,Paul Gipson,RB,23,Houston
1969,2,30,PIT,Terry Hanratty,QB,21,Notre Dame
1969,2,31,CIN,Bill Bergey,LB,24,Arkansas St.
1969,2,32,BOS,Mike Montler,C,25,Colorado
1969,2,33,BAL,Ted Hendricks HOF,LB,21,Miami (FL)
1969,2,34,DET,Altie Taylor,RB,21,Utah St.
1969,2,35,STL,Rolf Krueger,DE,22,Texas A&M
1969,2,36,DEN,Grady Cavness,DB,22,Texas-El Paso
1969,2,37,MIA,Bob Heinz,DT,22,Pacific
1969,2,38,GNB,Dave Bradley,G,22,Penn St.
1969,2,39,MIN,Ed White,G,22,California
1969,2,40,HOU,Jerry LeVias,WR,23,SMU
1969,2,41,CHI,Bobby Douglass,QB,22,Kansas
1969,2,42,PIT,Warren Bankston,RB,22,Tulane
1969,2,43,MIN,Volly Murphy,FL,"",Texas-El Paso
1969,2,44,SDG,Ron Sayers,RB,22,Nebraska-Omaha
1969,2,45,NOR,Richard Neal,DE,21,Saginaw Valley St.
1969,2,46,WAS,Eugene Epps,DB,"",Texas-El Paso
1969,2,47,DET,Jim Yarbrough,T,22,Florida
1969,2,48,KAN,Ed Podolak,RB,22,Iowa
1969,2,49,DAL,Richmond Flowers,DB,22,Tennessee
1969,2,50,OAK,George Buehler,G,22,Stanford
1969,2,51,BAL,Tommy Maxwell,DB,22,Texas A&M
1969,2,52,NYJ,Al Woodall,QB,23,Duke
1969,3,53,BUF,Julian Nunamaker,DE,23,Tenn-Martin
1969,3,54,ATL,Mal Snider,G,22,Stanford
1969,3,55,CLE,Al Jenkins,G,23,Tulsa
1969,3,56,PIT,Jon Kolb,T,22,Oklahoma St.
1969,3,57,CIN,Speedy Thomas,WR,22,Utah
1969,3,58,BOS,Carl Garrett,RB,22,New Mex. Highlands
1969,3,59,DET,Larry Walton,WR,22,Arizona St.
1969,3,60,NYG,Vern Vanoy,DT,22,Kansas
1969,3,61,DEN,Bill Thompson,DB,22,Md-Eastern Shore
