2000,Rnd,Pick,Tm,Player,Pos,Age,Sk
2000,1,1,CLE,Courtney Brown,DE,22,19.0
2000,1,2,WAS,LaVar Arrington,LB,22,23.5
2000,1,3,WAS,Chris Samuels,T,23,""
2000,1,4,CIN,Peter Warrick,WR,23,""
2000,1,5,BAL,Jamal Lewis,RB,21,""
2000,1,6,PHI,Corey Simon,DT,23,32.0
2000,1,7,ARI,Thomas Jones,RB,22,""
2000,1,8,PIT,Plaxico Burress,WR,23,""
2000,1,9,CHI,Brian Urlacher HOF,LB,22,41.5
2000,1,10,BAL,Travis Taylor,WR,22,""
2000,1,11,NYG,Ron Dayne,RB,22,""
2000,1,12,NYJ,Shaun Ellis,DE,23,73.5
2000,1,13,NYJ,John Abraham,DE,22,133.5
2000,1,14,GNB,Bubba Franks,TE,22,""
2000,1,15,DEN,Deltha O'Neal,DB,23,1.0
2000,1,16,SFO,Julian Peterson,LB,22,51.5
2000,1,17,OAK,Sebastian Janikowski,K,22,""
2000,1,18,NYJ,Chad Pennington,QB,24,""
2000,1,19,SEA,Shaun Alexander,RB,23,""
2000,1,20,DET,Stockar McDougle,T,23,""
2000,1,21,KAN,Sylvester Morris,WR,22,""
2000,1,22,SEA,Chris McIntosh,T,23,""
2000,1,23,CAR,Rashard Anderson,DB,23,""
2000,1,24,SFO,Ahmed Plummer,DB,24,""
2000,1,25,MIN,Chris Hovan,DT,22,22.0
2000,1,26,BUF,Erik Flowers,DE,22,5.0
2000,1,27,NYJ,Anthony Becht,TE,23,""
2000,1,28,IND,Rob Morris,LB,25,7.0
2000,1,29,JAX,R. Jay Soward,WR,22,""
2000,1,30,TEN,Keith Bulluck,LB,23,18.0
2000,1,31,STL,Trung Canidate,RB,23,""
2000,2,32,CLE,Dennis Northcutt,WR,22,""
2000,2,33,NOR,Darren Howard,DE,23,67.0
2000,2,34,CIN,Mark Roman,DB,23,8.0
2000,2,35,SFO,John Engelberger,DE,23,20.5
2000,2,36,PHI,Todd Pinkston,WR,23,""
2000,2,37,ATL,Travis Claridge,G,22,""
2000,2,38,PIT,Marvel Smith,T,22,""
2000,2,39,CHI,Mike Brown,DB,22,7.0
2000,2,40,DEN,Ian Gold,LB,22,17.0
2000,2,41,ARI,Raynoch Thompson,LB,22,7.5
2000,2,42,NYG,Cornelius Griffin,DT,23,29.0
2000,2,43,SDG,Rogers Beckett,DB,23,4.0
2000,2,44,GNB,Chad Clifton,T,24,""
2000,2,45,DEN,Kenoy Kennedy,DB,22,6.0
2000,2,46,NWE,Adrian Klemm,G,23,""
2000,2,47,OAK,Jerry Porter,WR,22,""
2000,2,48,SFO,Jason Webster,DB,22,0.5
2000,2,49,DAL,Dwayne Goodrich,DB,22,""
2000,2,50,DET,Barrett Green,LB,22,5.0
2000,2,51,TAM,Cosey Coleman,G,21,""
2000,2,52,SEA,Ike Charlton,DB,22,2.0
2000,2,53,MIA,Todd Wade,T,23,""
2000,2,54,KAN,William Bartee,DB,23,3.5
2000,2,55,MIN,Fred Robbins,DT,23,35.5
2000,2,56,MIN,Michael Boireau,DE,"",""
2000,2,57,CAR,Deon Grant,DB,21,6.5
2000,2,58,BUF,Travares Tillman,DB,22,""
2000,2,59,IND,Marcus Washington,LB,22,37.5
2000,2,60,JAX,Brad Meester,C,23,""
2000,2,61,PHI,Bobbie Williams,G,23,""
2000,2,62,STL,Jacoby Shepherd,DB,21,""
2000,3,63,CLE,Travis Prentice,RB,23,""
2000,3,64,WAS,Lloyd Harrison,DB,23,1.0
2000,3,65,SFO,Giovanni Carmazzi,QB,"",""
2000,3,66,CIN,Ron Dugans,WR,23,""
2000,3,67,ATL,Mark Simoneau,LB,23,7.0
2000,3,68,TEN,Erron Kinney,TE,23,""
2000,3,69,CHI,Dez White,WR,21,""
2000,3,70,DEN,Chris Cole,WR,22,""
2000,3,71,ARI,Darwin Walker,DT,23,28.5
2000,3,72,PIT,Kendrick Clancy,DT,21,5.5
2000,3,73,NYG,Ron Dixon,WR,24,""
2000,3,74,GNB,Steve Warren,DT,22,1.0
2000,3,75,BAL,Chris Redman,QB,23,""
2000,3,76,NWE,J.R. Redmond,RB,22,""
2000,3,77,PIT,Hank Poteat,DB,23,3.0
2000,3,78,NYJ,Laveranues Coles,WR,22,""
2000,3,79,CLE,JaJuan Dawson,WR,22,""
